,av_zone,down_rate,in_gb,instance_type,jobs_per,num_datasets,out_gb,out_gb_dl,price_hr,proc_time,product,s3_dl_time,s3_req_cost,s3_storage_cost,s3_total_cost,s3_upl_time,s3_xfer_cost,static_ebs_storage_cost,static_instance_cost,static_run_time,static_total_cost,static_total_time,static_wait_time,up_rate,xfer_up_time
23,ap-southeast-1a,20,0.055,c3.8xlarge,3,10000,2.3,2.3,2.117,1980.0,Linux/UNIX,9200000.0,0.2,2415.52511416,5175.72511416,1840000.0,2760.0,77.5298630137,3918.48,330660.0,9171.73497717,11286424.4444,0,18,244444.444444
24,ap-southeast-1b,20,0.055,c3.8xlarge,3,50,2.3,2.3,2.117,1980.0,Linux/UNIX,46000.0,0.001,0.0603881278539,13.8613881279,9200.0,13.8,0.182498630137,36.149,1980.0,50.192886758,58402.2222222,0,18,1222.22222222
25,ap-southeast-1b,20,0.055,c3.8xlarge,3,100,2.3,2.3,2.117,1980.0,Linux/UNIX,92000.0,0.002,0.241552511416,27.8435525114,18400.0,27.6,0.396904109589,84.96,3960.0,113.200456621,114824.444444,0,18,2444.44444444
26,ap-southeast-1b,20,0.055,c3.8xlarge,3,200,2.3,2.3,2.117,1980.0,Linux/UNIX,184000.0,0.004,0.966210045662,56.1702100457,36800.0,55.2,0.678410958904,127.54,7920.0,184.388621005,227668.888889,0,18,4888.88888889
27,ap-southeast-1b,20,0.055,c3.8xlarge,3,500,2.3,2.3,2.117,1980.0,Linux/UNIX,460000.0,0.01,6.03881278539,144.048812785,92000.0,138.0,1.45726027397,212.9,17820.0,358.406073059,566202.222222,0,18,12222.2222222
28,ap-southeast-1b,20,0.055,c3.8xlarge,3,1000,2.3,2.3,2.117,1980.0,Linux/UNIX,920000.0,0.02,24.1552511416,300.175251142,184000.0,276.0,3.14909589041,425.76,33660.0,729.084347032,1130424.44444,0,18,24444.4444444
29,ap-southeast-1b,20,0.055,c3.8xlarge,3,2000,2.3,2.3,2.117,1980.0,Linux/UNIX,1840000.0,0.04,96.6210045662,648.661004566,368000.0,552.0,7.22071232877,809.14,67320.0,1465.02171689,2258868.88889,0,18,48888.8888889
30,ap-southeast-1b,20,0.055,c3.8xlarge,3,5000,2.3,2.3,2.117,1980.0,Linux/UNIX,4600000.0,0.1,603.881278539,1983.98127854,920000.0,1380.0,25.8267945205,2001.62,166320.0,4011.42807306,5644202.22222,0,18,122222.222222
31,ap-southeast-1b,20,0.055,c3.8xlarge,3,10000,2.3,2.3,2.117,1980.0,Linux/UNIX,9200000.0,0.2,2415.52511416,5175.72511416,1840000.0,2760.0,77.5298630137,3918.48,330660.0,9171.73497717,11286424.4444,0,18,244444.444444
32,ap-southeast-2a,20,0.055,c3.8xlarge,3,50,2.3,2.3,2.117,1980.0,Linux/UNIX,46000.0,0.0011,0.0664269406393,16.1675269406,9200.0,16.1,0.182498630137,36.149,1980.0,52.4990255708,58402.2222222,0,18,1222.22222222
